"source_type","source_id","source_title","source_url","target_url","action","status","notes"
"product","1066","Motto życiowe Michaela Scotta","https://drukarniareklamova.pl/produkt/motto-zyciowe-michaela-scotta/","https://drukarniareklamova.pl/produkt/motto-zyciowe-michaela-scotta/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1156","Plakat That's what she said","https://drukarniareklamova.pl/produkt/plakat-thats-what-she-said/","https://drukarniareklamova.pl/produkt/plakat-thats-what-she-said/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1165","Plakat This is the worst","https://drukarniareklamova.pl/produkt/plakat-this-is-the-worst/","https://drukarniareklamova.pl/produkt/plakat-this-is-the-worst/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1179","Plakat No God, Please No!","https://drukarniareklamova.pl/produkt/plakat-no-god-please-no/","https://drukarniareklamova.pl/produkt/plakat-no-god-please-no/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1188","Plakat Kubek Michaela","https://drukarniareklamova.pl/produkt/plakat-kubek-michaela/","https://drukarniareklamova.pl/produkt/plakat-kubek-michaela/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1225","Plakat Marmurowy Księżyc","https://drukarniareklamova.pl/produkt/plakat-marmurowy-ksiezyc/","https://drukarniareklamova.pl/produkt/plakat-marmurowy-ksiezyc/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1234","Plakat Geometryczne wzory","https://drukarniareklamova.pl/produkt/plakat-geometryczne-wzory/","https://drukarniareklamova.pl/produkt/plakat-geometryczne-wzory/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1243","Plakat Nieregularne Formy","https://drukarniareklamova.pl/produkt/plakat-nieregularne-formy/","https://drukarniareklamova.pl/produkt/plakat-nieregularne-formy/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1252","Plakat Spokojna plaża","https://drukarniareklamova.pl/produkt/plakat-spokojna-plaza/","https://drukarniareklamova.pl/produkt/plakat-spokojna-plaza/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1261","Plakat Przejścia Harmonii","https://drukarniareklamova.pl/produkt/plakat-przejscia-harmonii/","https://drukarniareklamova.pl/produkt/plakat-przejscia-harmonii/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1270","Plakat Złoty Urok","https://drukarniareklamova.pl/produkt/plakat-zloty-urok/","https://drukarniareklamova.pl/produkt/plakat-zloty-urok/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1292","Plakat Siła Milczenia","https://drukarniareklamova.pl/produkt/plakat-sila-milczenia/","https://drukarniareklamova.pl/produkt/plakat-sila-milczenia/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1301","Plakat Elegancja w Ciszy","https://drukarniareklamova.pl/produkt/plakat-elegancja-w-ciszy/","https://drukarniareklamova.pl/produkt/plakat-elegancja-w-ciszy/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1310","Plakat Tajemnica Oczu","https://drukarniareklamova.pl/produkt/plakat-tajemnica-oczu/","https://drukarniareklamova.pl/produkt/plakat-tajemnica-oczu/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1319","Plakat Światło w Kroplach","https://drukarniareklamova.pl/produkt/plakat-swiatlo-w-kroplach/","https://drukarniareklamova.pl/produkt/plakat-swiatlo-w-kroplach/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1328","Plakat Skryte Wątki Natury","https://drukarniareklamova.pl/produkt/plakat-skryte-watki-natury/","https://drukarniareklamova.pl/produkt/plakat-skryte-watki-natury/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1337","Plakat Harmonia natury","https://drukarniareklamova.pl/produkt/plakat-harmonia-natury/","https://drukarniareklamova.pl/produkt/plakat-harmonia-natury/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1346","Plakat Przez Zasłonę Mgły","https://drukarniareklamova.pl/produkt/plakat-przez-zaslone-mgly/","https://drukarniareklamova.pl/produkt/plakat-przez-zaslone-mgly/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1355","Plakat Tajemnice Morskiego Tumultu","https://drukarniareklamova.pl/produkt/plakat-tajemnice-morskiego-tumultu/","https://drukarniareklamova.pl/produkt/plakat-tajemnice-morskiego-tumultu/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1364","Plakat Morska przygoda","https://drukarniareklamova.pl/produkt/plakat-morska-przygoda/","https://drukarniareklamova.pl/produkt/plakat-morska-przygoda/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1373","Naklejka Obiekt monitorowany","https://drukarniareklamova.pl/produkt/naklejka-obiekt-monitorowany/","https://drukarniareklamova.pl/produkt/naklejka-obiekt-monitorowany/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1434","Plakat Harmonia Ruchu","https://drukarniareklamova.pl/produkt/plakat-harmonia-ruchu/","https://drukarniareklamova.pl/produkt/plakat-harmonia-ruchu/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1443","Plakat Eteryczna Gra Kolorów","https://drukarniareklamova.pl/produkt/plakat-eteryczna-gra-kolorow/","https://drukarniareklamova.pl/produkt/plakat-eteryczna-gra-kolorow/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1452","Plakat Mistrz Mądrości","https://drukarniareklamova.pl/produkt/plakat-mistrz-madrosci/","https://drukarniareklamova.pl/produkt/plakat-mistrz-madrosci/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1461","Plakat Delikatność Lilii","https://drukarniareklamova.pl/produkt/plakat-delikatnosc-lilii/","https://drukarniareklamova.pl/produkt/plakat-delikatnosc-lilii/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1470","Plakat Wysokość Inspiracji","https://drukarniareklamova.pl/produkt/plakat-wysokosc-inspiracji/","https://drukarniareklamova.pl/produkt/plakat-wysokosc-inspiracji/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1504","Baner Mandarynki","https://drukarniareklamova.pl/produkt/baner-mandarynki/","https://drukarniareklamova.pl/produkt/baner-mandarynki/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1510","Baner Truskawki","https://drukarniareklamova.pl/produkt/baner-truskawki/","https://drukarniareklamova.pl/produkt/baner-truskawki/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1516","Baner Pieczywo","https://drukarniareklamova.pl/produkt/baner-pieczywo/","https://drukarniareklamova.pl/produkt/baner-pieczywo/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1522","Baner Kurczak z rożna","https://drukarniareklamova.pl/produkt/baner-kurczak-z-rozna/","https://drukarniareklamova.pl/produkt/baner-kurczak-z-rozna/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1613","Baner Drewno kominkowe","https://drukarniareklamova.pl/produkt/baner-drewno-kominkowe/","https://drukarniareklamova.pl/produkt/baner-drewno-kominkowe/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1673","Papier transferowy Oratape MT52 10 cm","https://drukarniareklamova.pl/produkt/papier-transferowy-oratape-mt52-10-cm/","https://drukarniareklamova.pl/produkt/papier-transferowy-oratape-mt52-10-cm/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1708","Baner Wulkanizacja","https://drukarniareklamova.pl/produkt/baner-wulkanizacja/","https://drukarniareklamova.pl/produkt/baner-wulkanizacja/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1728","Baner Owoce sezonowe","https://drukarniareklamova.pl/produkt/baner-owoce-sezonowe/","https://drukarniareklamova.pl/produkt/baner-owoce-sezonowe/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1735","Baner Pomidory","https://drukarniareklamova.pl/produkt/baner-pomidory/","https://drukarniareklamova.pl/produkt/baner-pomidory/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1741","Baner Maliny","https://drukarniareklamova.pl/produkt/baner-maliny/","https://drukarniareklamova.pl/produkt/baner-maliny/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1749","Baner Jabłka","https://drukarniareklamova.pl/produkt/baner-jablka/","https://drukarniareklamova.pl/produkt/baner-jablka/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","1763","Baner Lody","https://drukarniareklamova.pl/produkt/baner-lody/","https://drukarniareklamova.pl/produkt/baner-lody/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
